nom,url
"Brigitte Lahaie","https://www.sudradio.fr/programme/brigitte-lahaie-sudradio/poditunes"
"Crims","http://dinamics.ccma.cat/public/podcast/catradio/xml/9/5/podprograma1859.xml"
"Dossier Negro","https://www.spreaker.com/show/4918043/episodes/feed"
"En guàrdia!","https://dinamics.3cat.cat/public/podcast/catradio/xml/4/4/podprograma944.xml"
"Historias de RNE","https://feeds.ivoox.com/feed_fg_f13829_filtro_1.xml"
"Arqueopodcast","https://feeds.ivoox.com/feed_fg_f11289584_filtro_1.xml"
"Àrea Hermètica Misteris","https://feeds.ivoox.com/feed_fg_f1614421_filtro_1.xml"
"La muerte puede bailar","https://feeds.ivoox.com/feed_fg_f11606410_filtro_1.xml"
"La nit més fosca","https://feeds.ivoox.com/feed_fg_f1455079_filtro_1.xml"
"La huella OVNI","https://feeds.simplecast.com/9tK2CETM"
